"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 28 02:33:22 UTC 2023","Mon Aug 28 02:33:42 UTC 2023","19813","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Aug 28 03:20:41 UTC 2023","Mon Aug 28 03:21:12 UTC 2023","30874","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Mon Aug 28 03:04:44 UTC 2023","Mon Aug 28 03:04:45 UTC 2023","732","","6. Company Account","","","","9. Review Final Review",""
"passed","Mon Aug 28 03:35:02 UTC 2023","Mon Aug 28 03:35:04 UTC 2023","2163","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Mon Aug 28 02:33:55 UTC 2023","Mon Aug 28 02:34:26 UTC 2023","31456","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Mon Aug 28 02:59:12 UTC 2023","Mon Aug 28 02:59:20 UTC 2023","7978","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Mon Aug 28 02:53:18 UTC 2023","Mon Aug 28 02:54:16 UTC 2023","57898","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Mon Aug 28 02:27:40 UTC 2023","Mon Aug 28 02:27:59 UTC 2023","19010","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Aug 28 04:28:34 UTC 2023","Mon Aug 28 04:28:36 UTC 2023","1434","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Mon Aug 28 03:42:09 UTC 2023","Mon Aug 28 03:42:23 UTC 2023","14252","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Mon Aug 28 02:36:38 UTC 2023","Mon Aug 28 02:36:40 UTC 2023","2607","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Mon Aug 28 04:16:04 UTC 2023","Mon Aug 28 04:17:26 UTC 2023","81774","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
